"Enterococcus thailandicus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus","strain"
"Enterococcus ureilyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus ureilyticus","strain"
"Enterococcus wangshanyuanii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus wangshanyuanii","strain"
"Ercella succinigenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ercella","Ercella succinigenes","strain"
"Erwinia amylovora","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia amylovora","strain"
"Erwinia billingiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia billingiae","strain"
"Erwinia mallotivora","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia mallotivora","strain"
"Erwinia piriflorinigrans CFBP 5888","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia piriflorinigrans","Erwinia piriflorinigrans CFBP 5888"
"Erwinia psidii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia psidii","strain"
"Erwinia tasmaniensis Et1/99","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia tasmaniensis","Erwinia tasmaniensis Et1/99"
"Erwinia tracheiphila","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia tracheiphila","strain"
"Erysipelatoclostridium ramosum","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia","Thomasclavelia ramosa","strain"
"Erysipelothrix inopinata","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","Erysipelothrix inopinata","strain"
"Erysipelothrix larvae","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","Erysipelothrix larvae","strain"
"Escherichia albertii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia albertii","strain"
"Escherichia coli","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","strain"
"Escherichia fergusonii ATCC 35469","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii","Escherichia fergusonii ATCC 35469"
"Escherichia marmotae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae","strain"
"Ethanoligenens harbinense YUAN-3","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ethanoligenens","Ethanoligenens harbinense","Ethanoligenens harbinense YUAN-3"
"Eubacterium callanderi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium callanderi","strain"
"Eubacterium coprostanoligenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium coprostanoligenes","strain"
"Eubacterium limosum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium limosum","strain"
"Eubacterium multiforme","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium multiforme","strain"
"Eubacterium oxidoreducens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium oxidoreducens","strain"
"Eubacterium ramulus ATCC 29099","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ramulus","Eubacterium ramulus ATCC 29099"
"Eubacterium ruminantium","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ruminantium","strain"
"Eubacterium sulci ATCC 35585","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","genus","[Eubacterium] sulci","Eubacterium sulci ATCC 35585"
"Eubacterium uniforme","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium uniforme","strain"
"Eubacterium ventriosum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ventriosum","strain"
"Evansella cellulosilytica DSM 2522","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Evansella","Evansella cellulosilytica","Evansella cellulosilytica DSM 2522"
"Ewingella americana","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Ewingella","Ewingella americana","strain"
"Exiguobacterium aestuarii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","family","Exiguobacterium","Exiguobacterium aestuarii","strain"
"Exiguobacterium aurantiacum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","family","Exiguobacterium","Exiguobacterium aurantiacum","strain"
"Extibacter muris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Extibacter","Extibacter muris","strain"
"Faecalibacterium prausnitzii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","strain"
"Faecalicatena contorta","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena contorta","strain"
"Faecalicatena fissicatena","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena fissicatena","strain"
"Faecalicatena orotica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena orotica","strain"
"Faecalimonas umbilicata","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas","Faecalimonas umbilicata","strain"
"Falcatimonas natans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Falcatimonas","Falcatimonas natans","strain"
"Fervidicella metallireducens AeB","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Fervidicella","Fervidicella metallireducens","Fervidicella metallireducens AeB"
"Flavonifractor plautii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","strain"
"Flintibacter butyricus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Flintibacter","Flintibacter butyricus","strain"
"Fonticella tunisiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Fonticella","Fonticella tunisiensis","strain"
"Fournierella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Fournierella","Fournierella massiliensis","strain"
"Franconibacter daqui","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Franconibacter","Franconibacter daqui","strain"
"Frisingicoccus caecimuris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Frisingicoccus","Frisingicoccus caecimuris","strain"
"Fructilactobacillus fructivorans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus","Fructilactobacillus fructivorans","strain"
"Furfurilactobacillus curtus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Furfurilactobacillus","Furfurilactobacillus curtus","strain"
"Fusibacter fontis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XII. Incertae Sedis","Fusibacter","Fusibacter fontis","strain"
"Fusibacter paucivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XII. Incertae Sedis","Fusibacter","Fusibacter paucivorans","strain"
"Fusibacter tunisiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XII. Incertae Sedis","Fusibacter","Fusibacter tunisiensis","strain"
"Fusicatenibacter saccharivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","strain"
"Gemmiger formicilis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Gemmiger","Gemmiger formicilis","strain"
"Geosporobacter subterraneus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Geosporobacter","Geosporobacter subterraneus","strain"
"Gibbsiella dentisursi","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Gibbsiella","Gibbsiella dentisursi","strain"
"Gluceribacter canis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Gluceribacter","Gluceribacter canis","strain"
"Gottfriedia solisilvae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Gottfriedia","Gottfriedia solisilvae","strain"
"Gottschalkia acidurici","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Gottschalkiaceae","Gottschalkia","Gottschalkia acidurici","strain"
"Gottschalkia purinilytica","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Gottschalkiaceae","Gottschalkia","Gottschalkia purinilytica","strain"
"Gracilibacillus alcaliphilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Gracilibacillus","Gracilibacillus alcaliphilus","strain"
"Gracilibacter thermotolerans JW/YJL-S1","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Gracilibacteraceae","Gracilibacter","Gracilibacter thermotolerans","Gracilibacter thermotolerans JW/YJL-S1"
"Haemophilus parainfluenzae ATCC 33392","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae","Haemophilus parainfluenzae ATCC 33392"
"Hafnia alvei","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia alvei","strain"
"Hafnia alvei ATCC 13337","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia alvei","Hafnia alvei ATCC 13337"
"Hafnia paralvei","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia paralvei","strain"
"Haloimpatiens lingqiaonensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Haloimpatiens","Haloimpatiens lingqiaonensis","strain"
"Harryflintia acetispora","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Harryflintia","Harryflintia acetispora","strain"
"Hathewaya histolytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hathewaya","Hathewaya histolytica","strain"
"Hathewaya limosa","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hathewaya","Hathewaya limosa","strain"
"Hathewaya proteolytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hathewaya","Hathewaya proteolytica","strain"
"Helicobacter cholecystus","Bacteria","clade","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter cholecystus","strain"
"Helicobacter mustelae","Bacteria","clade","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter mustelae","strain"
"Herbaspirillum seropedicae","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum seropedicae","strain"
"Herbinix hemicellulosilytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Herbinix","Herbinix hemicellulosilytica","strain"
"Herbinix luporum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Herbinix","Herbinix luporum","strain"
"Hespellia porcina","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Hespellia","Hespellia porcina","strain"
"Hespellia stercorisuis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Hespellia","Hespellia stercorisuis","strain"
"Holdemania filiformis","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania filiformis","strain"
"Hungatella effluvii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","Hungatella effluvii","strain"
"Hungatella hathewayi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","Hungatella hathewayi","strain"
"Hungatella xylanolytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","Hungatella xylanolytica","strain"
"Hydrogenoanaerobacterium saccharovorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogenoanaerobacterium","Hydrogenoanaerobacterium saccharovorans","strain"
"Ihubacter massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Ihubacter","Ihubacter massiliensis","strain"
"Ilyobacter delafieldii","Bacteria","clade","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Ilyobacter","Ilyobacter delafieldii","strain"
"Intestinibacillus massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Intestinibacillus","Intestinibacillus massiliensis","strain"
"Intestinibacter bartlettii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter","Intestinibacter bartlettii","strain"
"Intestinimonas butyriciproducens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Intestinimonas","Intestinimonas butyriciproducens","strain"
"Irregularibacter muris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Irregularibacter","Irregularibacter muris","strain"
"Isobaculum melis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Isobaculum","Isobaculum melis","strain"
"Johnsonella ignava ATCC 51276","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Johnsonella","Johnsonella ignava","Johnsonella ignava ATCC 51276"
"Jonesia quinghaiensis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Jonesiaceae","Jonesia","Jonesia quinghaiensis","strain"
"Kineothrix alysoides","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix","Kineothrix alysoides","strain"
"Klebsiella aerogenes KCTC 2190","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Klebsiella aerogenes KCTC 2190"
"Klebsiella grimontii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella grimontii","strain"
